Color_Channel 	 Set_number 	 Precision 	 Recall 	 FScore 	 Error 
7 	 28 	 0.348727 	 0.811552 	 0.487831 	 67.739612 
7 	 29 	 0.631354 	 0.913085 	 0.746523 	 40.443768 
7 	 30 	 0.502120 	 0.866166 	 0.635714 	 53.403216 
7 	 31 	 0.629253 	 0.872043 	 0.731016 	 42.393603 
7 	 32 	 0.424134 	 0.604970 	 0.498664 	 66.785350 
7 	 33 	 0.304158 	 0.807003 	 0.441802 	 71.646639 
7 	 34 	 0.360443 	 0.827658 	 0.502185 	 66.472154 
7 	 35 	 0.788645 	 0.932096 	 0.854391 	 25.420379 
7 	 36 	 0.881912 	 0.888460 	 0.885174 	 20.599775 
7 	 37 	 0.734418 	 0.847373 	 0.786862 	 35.138256 
7 	 38 	 0.516304 	 0.897872 	 0.655611 	 51.233535 
7 	 39 	 0.473124 	 0.863047 	 0.611191 	 55.991666 
7 	 40 	 0.810376 	 0.834375 	 0.822200 	 30.191862 
7 	 41 	 0.595943 	 0.688012 	 0.638677 	 52.724898 
7 	 42 	 0.831875 	 0.948175 	 0.886226 	 20.430357 
7 	 43 	 0.466467 	 0.816930 	 0.593848 	 57.767898 
7 	 44 	 0.632161 	 0.928977 	 0.752353 	 39.698308 
7 	 45 	 0.777120 	 0.929048 	 0.846319 	 26.641789 
7 	 46 	 0.956093 	 0.557312 	 0.704163 	 45.659592 
7 	 47 	 0.948082 	 0.899250 	 0.923021 	 14.295438 
7 	 48 	 0.823232 	 0.546343 	 0.656798 	 51.102041 
7 	 49 	 0.895970 	 0.944891 	 0.919780 	 14.852492 
7 	 50 	 0.812197 	 0.941826 	 0.872221 	 22.651492 
7 	 51 	 0.827704 	 0.946548 	 0.883146 	 20.925611 
7 	 52 	 0.758405 	 0.929606 	 0.835324 	 28.278445 
8 	 1 	 0.396033 	 0.798015 	 0.529360 	 64.004822 
8 	 2 	 0.182558 	 0.552519 	 0.274438 	 84.033662 
8 	 3 	 0.876686 	 0.859509 	 0.868013 	 23.290977 
8 	 4 	 0.432052 	 0.645638 	 0.517680 	 64.518731 
8 	 5 	 0.899355 	 0.689319 	 0.780453 	 36.004715 
8 	 6 	 0.447960 	 0.725445 	 0.553893 	 61.681697 
8 	 7 	 0.634277 	 0.913793 	 0.748801 	 40.153381 
8 	 8 	 0.530810 	 0.889069 	 0.664742 	 50.216226 
8 	 9 	 0.562435 	 0.852608 	 0.677769 	 48.740455 
8 	 10 	 0.778704 	 0.893742 	 0.832266 	 28.728079 
8 	 11 	 0.574589 	 0.904391 	 0.702718 	 45.831499 
8 	 12 	 0.765491 	 0.800829 	 0.782762 	 35.685984 
8 	 13 	 0.760192 	 0.747388 	 0.753736 	 39.518843 
8 	 14 	 0.510716 	 0.212306 	 0.299930 	 79.724707 
8 	 15 	 0.642410 	 0.673592 	 0.657632 	 50.979592 
8 	 16 	 0.646520 	 0.293919 	 0.404119 	 74.549388 
8 	 17 	 0.409217 	 0.868336 	 0.556279 	 61.469098 
8 	 18 	 0.011766 	 0.006690 	 0.008530 	 98.069220 
8 	 19 	 0.806959 	 0.892739 	 0.847684 	 26.436423 
8 	 20 	 0.463082 	 0.852418 	 0.600136 	 57.112683 
8 	 21 	 0.423739 	 0.864922 	 0.568809 	 60.253726 
8 	 22 	 0.440210 	 0.876461 	 0.586064 	 58.550866 
8 	 23 	 0.099323 	 0.161729 	 0.123066 	 91.891733 
8 	 24 	 0.501309 	 0.868268 	 0.635628 	 53.412458 
8 	 25 	 0.935416 	 0.789608 	 0.856350 	 25.121395 
8 	 26 	 0.642250 	 0.710561 	 0.674681 	 49.092961 
8 	 27 	 0.740157 	 0.876572 	 0.802609 	 32.970201 
8 	 28 	 0.334000 	 0.760027 	 0.464063 	 69.782787 
8 	 29 	 0.619451 	 0.867848 	 0.722907 	 43.394370 
8 	 30 	 0.500527 	 0.860665 	 0.632954 	 53.699111 
8 	 31 	 0.615953 	 0.824052 	 0.704966 	 45.563898 
