alpha_value 	 Set_number 	 Precision 	 Recall 	 FScore 	 Error 	 sky_Error 	 cloud_Error 
0.030000 	 36 	 0.960723 	 0.997967 	 0.978991 	 3.827914 	 3.646242 	 0.181672 
0.030000 	 37 	 0.854739 	 0.988798 	 0.916894 	 13.720296 	 12.862831 	 0.857465 
0.030000 	 38 	 0.659322 	 0.993314 	 0.792569 	 28.239764 	 27.876638 	 0.363126 
0.030000 	 39 	 0.571290 	 0.999186 	 0.726945 	 38.275850 	 38.234347 	 0.041503 
0.030000 	 40 	 0.917354 	 0.995232 	 0.954708 	 7.900485 	 7.501581 	 0.398904 
0.030000 	 41 	 0.948091 	 0.999879 	 0.973297 	 3.715918 	 3.707755 	 0.008163 
0.030000 	 42 	 0.940366 	 0.999350 	 0.968961 	 5.372841 	 5.318260 	 0.054580 
0.030000 	 43 	 0.772174 	 0.998366 	 0.870822 	 15.312209 	 15.227725 	 0.084485 
0.030000 	 44 	 0.801522 	 0.999116 	 0.889477 	 16.117116 	 16.059706 	 0.057410 
0.030000 	 45 	 0.933107 	 0.999195 	 0.965021 	 5.719593 	 5.656004 	 0.063588 
0.030000 	 46 	 0.992812 	 0.999146 	 0.995969 	 0.788571 	 0.705306 	 0.083265 
0.030000 	 47 	 0.988205 	 0.999131 	 0.993638 	 1.219442 	 1.136615 	 0.082827 
0.030000 	 48 	 0.972513 	 0.989420 	 0.980894 	 3.449796 	 2.502857 	 0.946939 
0.030000 	 49 	 0.975395 	 0.985682 	 0.980512 	 3.530858 	 2.240590 	 1.290268 
0.030000 	 50 	 0.914894 	 0.995952 	 0.953704 	 7.937149 	 7.604892 	 0.332257 
0.030000 	 51 	 0.947379 	 0.991438 	 0.968908 	 5.315679 	 4.600381 	 0.715298 
0.030000 	 52 	 0.858760 	 0.997811 	 0.923078 	 12.830353 	 12.661466 	 0.168886 
0.040000 	 1 	 0.493637 	 0.972581 	 0.654885 	 46.236868 	 45.000123 	 1.236745 
